route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
16,1326,1342994,Transway1A,Tri519462,0,1627,176728,0,0
16,1322,1342995,Transway1A,Tri519463,0,1033,176728,0,0
16,1323,1342996,Transway1A,Tri519463,0,1180,176728,0,0
16,1324,1342997,Transway1A,Tri519463,0,1329,176728,0,0
16,1325,1342998,Transway1A,Tri519463,0,1479,176728,0,0
16,1326,1342999,Transway1A,Tri519463,0,1628,176728,0,0
16,1322,1343000,Transway1A,Tri519464,0,1031,176728,0,0
16,1323,1343001,Transway1A,Tri519464,0,1178,176728,0,0
16,1324,1343002,Transway1A,Tri519464,0,1327,176728,0,0
16,1325,1343003,Transway1A,Tri519464,0,1477,176728,0,0
16,1326,1343004,Transway1A,Tri519464,0,1626,176728,0,0
16,1322,1343005,Transway1A,Tri519465,0,1032,176728,0,0
16,1323,1343006,Transway1A,Tri519465,0,1179,176728,0,0
16,1324,1343007,Transway1A,Tri519465,0,1328,176728,0,0
16,1325,1343008,Transway1A,Tri519465,0,1478,176728,0,0
16,1326,1343009,Transway1A,Tri519465,0,1627,176728,0,0
16,1322,1343010,Transway1A,Tri519466,0,1033,176728,0,0
16,1323,1343011,Transway1A,Tri519466,0,1180,176728,0,0
16,1324,1343012,Transway1A,Tri519466,0,1329,176728,0,0
16,1325,1343013,Transway1A,Tri519466,0,1479,176728,0,0
16,1326,1343014,Transway1A,Tri519466,0,1628,176728,0,0
16,1322,1343015,Transway1A,Tri519467,0,1031,176728,0,0
16,1323,1343016,Transway1A,Tri519467,0,1178,176728,0,0
16,1324,1343017,Transway1A,Tri519467,0,1327,176728,0,0
16,1325,1343018,Transway1A,Tri519467,0,1477,176728,0,0
16,1326,1343019,Transway1A,Tri519467,0,1626,176728,0,0
16,1322,1343020,Transway1A,Tri519468,0,1032,176728,0,0
16,1323,1343021,Transway1A,Tri519468,0,1179,176728,0,0
16,1324,1343022,Transway1A,Tri519468,0,1328,176728,0,0
16,1325,1343023,Transway1A,Tri519468,0,1478,176728,0,0
16,1326,1343024,Transway1A,Tri519468,0,1627,176728,0,0
16,1322,1343025,Transway1A,Tri519469,0,1033,176728,0,0
16,1323,1343026,Transway1A,Tri519469,0,1180,176728,0,0
16,1324,1343027,Transway1A,Tri519469,0,1329,176728,0,0
16,1325,1343028,Transway1A,Tri519469,0,1479,176728,0,0
16,1326,1343029,Transway1A,Tri519469,0,1628,176728,0,0
16,1322,1343030,Transway1A,Tri519470,0,1031,176728,0,0
16,1323,1343031,Transway1A,Tri519470,0,1178,176728,0,0
16,1324,1343032,Transway1A,Tri519470,0,1327,176728,0,0
16,1325,1343033,Transway1A,Tri519470,0,1477,176728,0,0
16,1326,1343034,Transway1A,Tri519470,0,1626,176728,0,0
16,1322,1343035,Transway1A,Tri519471,0,1032,176728,0,0
16,1323,1343036,Transway1A,Tri519471,0,1179,176728,0,0
16,1324,1343037,Transway1A,Tri519471,0,1328,176728,0,0
16,1325,1343038,Transway1A,Tri519471,0,1478,176728,0,0
16,1326,1343039,Transway1A,Tri519471,0,1627,176728,0,0
16,1322,1343040,Transway1A,Tri519472,0,1033,176728,0,0
16,1323,1343041,Transway1A,Tri519472,0,1180,176728,0,0
16,1324,1343042,Transway1A,Tri519472,0,1329,176728,0,0
16,1325,1343043,Transway1A,Tri519472,0,1479,176728,0,0
16,1326,1343044,Transway1A,Tri519472,0,1628,176728,0,0
16,1322,1343045,Transway1A,Tri519473,0,1031,176728,0,0
16,1323,1343046,Transway1A,Tri519473,0,1178,176728,0,0
16,1324,1343047,Transway1A,Tri519473,0,1327,176728,0,0
16,1325,1343048,Transway1A,Tri519473,0,1477,176728,0,0
16,1326,1343049,Transway1A,Tri519473,0,1626,176728,0,0
16,1322,1343050,Transway1A,Tri519474,0,1032,176728,0,0
16,1323,1343051,Transway1A,Tri519474,0,1179,176728,0,0
16,1324,1343052,Transway1A,Tri519474,0,1328,176728,0,0
16,1325,1343053,Transway1A,Tri519474,0,1478,176728,0,0
16,1326,1343054,Transway1A,Tri519474,0,1627,176728,0,0
16,1322,1343055,Transway1A,Tri519475,0,1033,176728,0,0
16,1323,1343056,Transway1A,Tri519475,0,1180,176728,0,0
16,1324,1343057,Transway1A,Tri519475,0,1329,176728,0,0
16,1325,1343058,Transway1A,Tri519475,0,1479,176728,0,0
16,1326,1343059,Transway1A,Tri519475,0,1628,176728,0,0
16,1322,1343060,Transway1A,Tri519476,0,1031,176728,0,0
16,1323,1343061,Transway1A,Tri519476,0,1178,176728,0,0
16,1324,1343062,Transway1A,Tri519476,0,1327,176728,0,0
16,1325,1343063,Transway1A,Tri519476,0,1477,176728,0,0
16,1326,1343064,Transway1A,Tri519476,0,1626,176728,0,0
16,1322,1343065,Transway1A,Tri519477,0,1032,176728,0,0
16,1323,1343066,Transway1A,Tri519477,0,1179,176728,0,0
16,1324,1343067,Transway1A,Tri519477,0,1328,176728,0,0
16,1325,1343068,Transway1A,Tri519477,0,1478,176728,0,0
16,1326,1343069,Transway1A,Tri519477,0,1627,176728,0,0
16,1322,1343070,Transway1A,Tri519478,0,1033,176728,0,0
16,1323,1343071,Transway1A,Tri519478,0,1180,176728,0,0
